Project Short Code,Species Code,Species Name,Commercial Species Group,Gear Code,Gear Description,Gear Group,Commercial Data Viewer,CPFV Species Group,CPFV Data Viewer
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,73,DRUM SEINE,SEINE/NET,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,74,LAMPARA NET,SEINE/NET,No,ALBACORE TUNA,YES
Statewide_SocEco,6,UNSPECIFIED TUNA,OTHER OFFSHORE PELAGICS,0,UNKNOWN,MISC,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,6,UNSPECIFIED TUNA,OTHER OFFSHORE PELAGICS,1,HOOK & LINE,HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,6,UNSPECIFIED TUNA,OTHER OFFSHORE PELAGICS,3,Vertical Hook & Line/Portuguese Longline,HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,6,UNSPECIFIED TUNA,OTHER OFFSHORE PELAGICS,4,MOOCHING (SALMON),HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,6,UNSPECIFIED TUNA,OTHER OFFSHORE PELAGICS,5,SET LONGLINE,LONGLINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,6,UNSPECIFIED TUNA,OTHER OFFSHORE PELAGICS,6,JIG/BAIT (ALBACORE),HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,6,UNSPECIFIED TUNA,OTHER OFFSHORE PELAGICS,7,TROLL (ALBACORE),TROLL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,6,UNSPECIFIED TUNA,OTHER OFFSHORE PELAGICS,9,TROLL (SALMON),TROLL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,6,UNSPECIFIED TUNA,OTHER OFFSHORE PELAGICS,12,HARPOON/SPEAR,HARPOON/SPEAR,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,6,UNSPECIFIED TUNA,OTHER OFFSHORE PELAGICS,21,FISH TRAP,TRAP,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,6,UNSPECIFIED TUNA,OTHER OFFSHORE PELAGICS,35,DAINISH/SCOTTISH SEINE,BOTTOM TRAWL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,6,UNSPECIFIED TUNA,OTHER OFFSHORE PELAGICS,56,BOTTOM TRAWL,BOTTOM TRAWL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,6,UNSPECIFIED TUNA,OTHER OFFSHORE PELAGICS,58,SINGLE-RIGGED TRAWL,BOTTOM TRAWL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,6,UNSPECIFIED TUNA,OTHER OFFSHORE PELAGICS,65,DRIFT GILL NET,GILL NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,6,UNSPECIFIED TUNA,OTHER OFFSHORE PELAGICS,66,SET GILL NET,GILL NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,6,UNSPECIFIED TUNA,OTHER OFFSHORE PELAGICS,71,PURSE SEINE,SEINE/NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,8,BIGEYE TUNA,OTHER OFFSHORE PELAGICS,0,UNKNOWN,MISC,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,8,BIGEYE TUNA,OTHER OFFSHORE PELAGICS,1,HOOK & LINE,HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,8,BIGEYE TUNA,OTHER OFFSHORE PELAGICS,3,Vertical Hook & Line/Portuguese Longline,HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,8,BIGEYE TUNA,OTHER OFFSHORE PELAGICS,5,SET LONGLINE,LONGLINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,8,BIGEYE TUNA,OTHER OFFSHORE PELAGICS,6,JIG/BAIT (ALBACORE),HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,8,BIGEYE TUNA,OTHER OFFSHORE PELAGICS,9,TROLL (SALMON),TROLL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,8,BIGEYE TUNA,OTHER OFFSHORE PELAGICS,65,DRIFT GILL NET,GILL NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,8,BIGEYE TUNA,OTHER OFFSHORE PELAGICS,66,SET GILL NET,GILL NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,8,BIGEYE TUNA,OTHER OFFSHORE PELAGICS,71,PURSE SEINE,SEINE/NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,9,BLACK SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,1,HOOK & LINE,HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,9,BLACK SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,5,SET LONGLINE,LONGLINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,9,BLACK SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,6,JIG/BAIT (ALBACORE),HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,9,BLACK SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,40,BRAIL/DIP NET OR A-FRAME,BRAIL/DIP NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,9,BLACK SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,56,BOTTOM TRAWL,BOTTOM TRAWL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,9,BLACK SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,65,DRIFT GILL NET,GILL NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,9,BLACK SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,71,PURSE SEINE,SEINE/NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,11,No Name Provided,OTHER-misc,9,TROLL (SALMON),TROLL,No,OTHER-misc,No
Statewide_SocEco,11,No Name Provided,OTHER-misc,21,FISH TRAP,TRAP,No,OTHER-misc,No
Statewide_SocEco,12,BLACKFIN TUNA,OTHER OFFSHORE PELAGICS,60,UNKNOWN,Other-misc,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,12,BLACKFIN TUNA,OTHER OFFSHORE PELAGICS,65,DRIFT GILL NET,GILL NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,15,ESCOLAR,OTHER,0,UNKNOWN,MISC,No,OTHER,No
Statewide_SocEco,15,ESCOLAR,OTHER,1,HOOK & LINE,HOOK-LINE,No,OTHER,No
Statewide_SocEco,15,ESCOLAR,OTHER,5,SET LONGLINE,LONGLINE,No,OTHER,No
Statewide_SocEco,15,ESCOLAR,OTHER,9,TROLL (SALMON),TROLL,No,OTHER,No
Statewide_SocEco,15,ESCOLAR,OTHER,12,HARPOON/SPEAR,HARPOON/SPEAR,No,OTHER,No
Statewide_SocEco,15,ESCOLAR,OTHER,56,BOTTOM TRAWL,BOTTOM TRAWL,No,OTHER,No
Statewide_SocEco,15,ESCOLAR,OTHER,58,SINGLE-RIGGED TRAWL,BOTTOM TRAWL,No,OTHER,No
Statewide_SocEco,15,ESCOLAR,OTHER,65,DRIFT GILL NET,GILL NET,No,OTHER,No
Statewide_SocEco,15,ESCOLAR,OTHER,66,SET GILL NET,GILL NET,No,OTHER,No
Statewide_SocEco,17,OILFISH,OTHER,1,HOOK & LINE,HOOK-LINE,No,OTHER,No
Statewide_SocEco,17,OILFISH,OTHER,5,SET LONGLINE,LONGLINE,No,OTHER,No
